year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;7;Atlético Mineiro;72;46;19;15;12;76;62;14;52
2004;19;Atlético Mineiro;53;46;12;17;17;60;66;-6;38
2005;20;Atlético Mineiro;47;42;13;8;21;54;59;–5;37
2007;8;Atlético Mineiro;55;38;15;10;13;63;51;12;48
2008;12;Atlético Mineiro;48;38;12;12;14;50;61;–11;42
2009;7;Atlético Mineiro;56;38;16;8;14;55;56;-1;49
2010;13;Atlético Mineiro;45;38;13;6;19;52;64;-12;39
2011;15;Atlético Mineiro;45;38;13;6;19;50;60;-10;39
2012;2;Atlético Mineiro;72;38;20;12;6;64;37;27;63
2013;8;Atlético Mineiro;57;38;15;12;11;49;38;11;50
2014;5;Atlético Mineiro;62;38;17;11;10;51;38;13;54
2015;2;Atlético Mineiro;69;38;21;6;11;65;47;18;60
2016;4;Atlético Mineiro;62;38;17;11;10;61;53;8;54
2017;9;Atlético Mineiro;54;38;14;12;12;52;49;3;47
2018;6;Atlético Mineiro;59;38;17;8;13;56;43;13;52
2019;13;Atlético Mineiro;48;38;13;9;16;45;49;–4;42
