year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2004;20;Botafogo;51;46;11;18;17;62;71;-9;37
2005;9;Botafogo;59;42;17;8;17;57;56;1;47
2006;12;Botafogo;51;38;13;12;13;52;50;2;45
2007;9;Botafogo;55;38;14;13;11;62;58;4;48
2008;7;Botafogo;53;38;15;8;15;51;44;7;46
2009;15;Botafogo;47;38;11;14;13;52;58;-6;41
2010;6;Botafogo;59;38;14;17;7;54;42;12;52
2011;9;Botafogo;56;38;16;8;14;52;49;3;49
2012;7;Botafogo;55;38;15;10;13;60;50;10;48
2013;4;Botafogo;61;38;17;10;11;55;41;14;53
2014;19;Botafogo;34;38;9;7;22;31;48;–17;30
2016;5;Botafogo;59;38;17;8;13;43;39;4;52
2017;10;Botafogo;53;38;14;11;13;45;42;3;46
2018;9;Botafogo;51;38;13;12;13;38;46;–8;45
2019;15;Botafogo;43;38;13;4;21;31;45;–14;37
