year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;5;Coritiba;73;46;21;10;15;67;58;9;52
2004;12;Coritiba;62;46;15;17;14;53;48;-5;45
2005;19;Coritiba;49;42;13;10;19;51;60;–9;39
2008;9;Coritiba;53;38;14;11;13;55;48;7;46
2009;17;Coritiba;45;38;12;9;17;48;60;-12;39
2011;8;Coritiba;57;38;16;9;13;57;41;16;50
2012;13;Coritiba;48;38;14;6;18;53;60;–7;42
2013;11;Coritiba;48;38;12;12;14;42;45;–3;42
2014;14;Coritiba;47;38;12;11;15;42;45;–3;41
2015;15;Coritiba;44;38;11;11;16;31;42;–11;39
2016;15;Coritiba;46;38;11;13;14;41;42;–1;40
2017;17;Coritiba;43;38;11;10;17;42;51;–9;38
