year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;1;Cruzeiro;100;46;31;7;8;102;47;55;72
2004;13;Cruzeiro;56;46;16;8;22;69;81;-12;40
2005;8;Cruzeiro;60;42;17;9;16;73;72;1;47
2006;10;Cruzeiro;53;38;14;11;13;52;45;7;46
2007;5;Cruzeiro;60;38;18;6;14;73;58;15;53
2008;3;Cruzeiro;67;38;21;4;13;59;44;15;58
2009;4;Cruzeiro;62;38;18;8;12;58;53;5;54
2010;2;Cruzeiro;69;38;20;9;9;53;38;15;61
2011;16;Cruzeiro;43;38;11;10;17;48;51;-3;37
2012;9;Cruzeiro;52;38;15;7;16;47;51;–4;45
2013;1;Cruzeiro;76;38;23;7;8;77;37;40;67
2014;1;Cruzeiro;80;38;24;8;6;67;38;29;70
2015;8;Cruzeiro;55;38;15;10;13;44;35;9;48
2016;12;Cruzeiro;51;38;14;9;15;48;49;–1;45
2017;5;Cruzeiro;57;38;15;12;11;47;39;8;50
2018;8;Cruzeiro;53;38;14;11;13;34;34;0;46
2019;17;Cruzeiro;36;38;7;15;16;27;46;–19;31
