year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;19;Fluminense;52;46;13;11;22;52;77;–25;37
2004;9;Fluminense;67;46;18;13;15;65;68;-3;48
2005;5;Fluminense;68;42;19;11;12;79;70;9;54
2006;15;Fluminense;45;38;11;12;15;48;58;-10;39
2007;4;Fluminense;61;38;16;13;9;57;39;18;54
2008;14;Fluminense;45;38;11;12;15;49;48;1;39
2009;16;Fluminense;46;38;11;13;14;49;56;-7;40
2010;1;Fluminense;71;38;20;11;7;62;36;26;62
2011;3;Fluminense;63;38;20;3;15;60;51;9;55
2012;1;Fluminense;77;38;22;11;5;61;33;28;67
2013;15;Fluminense;46;38;12;10;16;43;47;–4;40
2014;6;Fluminense;61;38;17;10;11;61;42;19;53
2015;13;Fluminense;47;38;14;5;19;40;49;–9;41
2016;13;Fluminense;50;38;13;11;14;45;45;0;44
2017;14;Fluminense;47;38;11;14;13;50;53;–3;41
2018;12;Fluminense;45;38;12;9;17;32;46;–14;39
2019;14;Fluminense;46;38;12;10;16;38;46;–8;40
