year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;9;Goiás;65;46;18;11;17;78;63;15;47
2004;6;Goiás;72;46;21;9;16;81;68;13;52
2005;3;Goiás;74;42;22;8;12;68;41;27;59
2006;8;Goiás;55;38;15;10;13;63;49;14;48
2007;16;Goiás;45;38;13;6;19;49;62;-13;39
2008;8;Goiás;53;38;14;11;13;57;47;10;46
2009;9;Goiás;55;38;15;10;13;64;65;-1;48
2010;19;Goiás;33;38;8;9;21;41;68;-27;29
2013;6;Goiás;59;38;16;11;11;48;44;4;52
2014;12;Goiás;47;38;13;8;17;38;40;–2;41
2015;19;Goiás;38;38;10;8;20;39;49;–10;33
2019;10;Goiás;52;38;15;7;16;46;64;–18;45
