year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2004;4;Palmeiras;79;46;22;13;11;72;47;25;57
2005;4;Palmeiras;70;42;20;10;12;81;65;16;55
2006;16;Palmeiras;44;38;12;8;18;58;70;-12;39
2007;7;Palmeiras;58;38;16;10;12;48;47;1;51
2008;4;Palmeiras;65;38;19;8;11;55;45;10;57
2009;5;Palmeiras;62;38;17;11;10;58;45;13;54
2010;10;Palmeiras;50;38;12;14;12;42;43;-1;44
2011;11;Palmeiras;50;38;11;17;10;43;39;4;44
2012;18;Palmeiras;34;38;9;7;22;39;54;–15;30
2014;16;Palmeiras;40;38;11;7;20;34;59;–25;35
2015;9;Palmeiras;53;38;15;8;15;60;51;9;46
2016;1;Palmeiras;80;38;24;8;6;62;32;30;70
2017;2;Palmeiras;63;38;19;6;13;61;45;16;55
2018;1;Palmeiras;80;38;23;11;4;64;26;38;70
2019;3;Palmeiras;74;38;21;11;6;61;32;29;64
