year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;12;Atlético Paranaense;61;46;17;10;19;67;72;–5;44
2004;2;Atlético Paranaense;86;46;25;11;10;93;56;37;62
2005;6;Atlético Paranaense;61;42;18;7;17;76;67;9;48
2006;13;Atlético Paranaense;48;38;13;9;16;61;62;1;42
2007;12;Atlético Paranaense;54;38;14;12;12;51;50;1;47
2008;13;Atlético Paranaense;45;38;12;9;17;45;54;–9;39
2009;14;Atlético Paranaense;48;38;13;9;16;42;49;-7;42
2010;5;Atlético Paranaense;60;38;17;9;12;43;45;-2;53
2011;17;Atlético Paranaense;41;38;10;11;17;38;55;-17;36
2013;3;Atlético Paranaense;64;38;18;10;10;65;49;16;56
2014;8;Atlético Paranaense;54;38;15;9;14;43;42;1;47
2015;10;Atlético Paranaense;51;38;14;9;15;43;48;–5;45
2016;6;Atlético Paranaense;57;38;17;6;15;38;32;6;50
2017;11;Atlético Paranaense;51;38;14;9;15;45;43;2;45
2018;7;Atlético Paranaense;57;38;16;9;13;54;37;17;50
