year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;15;Corinthians;59;46;15;12;19;61;63;–2;42
2004;5;Corinthians;74;46;20;14;12;54;54;0;53
2005;1;Corinthians;81;42;24;9;9;87;59;28;64
2006;9;Corinthians;53;38;15;8;15;41;46;-5;46
2007;17;Corinthians;44;38;10;14;14;40;50;-10;39
2009;10;Corinthians;52;38;14;10;14;50;54;-4;46
2010;3;Corinthians;68;38;19;11;8;65;41;24;60
2011;1;Corinthians;71;38;21;8;9;53;36;17;62
2012;6;Corinthians;57;38;15;12;11;51;39;12;50
2013;10;Corinthians;50;38;11;17;10;27;22;5;44
2014;4;Corinthians;69;38;19;12;7;49;31;18;60
2015;1;Corinthians;81;38;24;9;5;71;31;40;71
2016;7;Corinthians;55;38;15;10;13;48;42;6;48
2017;1;Corinthians;72;38;21;9;8;50;30;20;63
2018;13;Corinthians;44;38;11;11;16;34;35;–1;39
2019;8;Corinthians;56;38;14;14;10;42;34;8;49
