year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;11;Figueirense;65;46;17;14;15;62;54;8;47
2004;11;Figueirense;63;46;17;12;17;57;59;-2;46
2005;16;Figueirense;53;42;14;11;17;65;72;–7;42
2006;7;Figueirense;57;38;15;12;11;52;44;8;50
2007;13;Figueirense;53;38;14;11;13;57;56;1;46
2008;17;Figueirense;44;38;11;11;16;49;73;–24;38
2011;7;Figueirense;58;38;15;13;10;46;45;1;51
2012;20;Figueirense;30;38;7;9;22;39;72;–33;26
2014;13;Figueirense;47;38;13;8;17;37;47;–10;41
2015;16;Figueirense;43;38;11;10;17;36;50;–14;38
2016;18;Figueirense;37;38;8;13;17;30;50;–20;32
