year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;20;Grêmio;50;46;13;11;22;54;68;–12;36
2004;24;Grêmio;39;46;9;12;25;60;80;-20;28
2006;3;Grêmio;67;38;20;7;11;64;45;19;59
2007;6;Grêmio;58;38;17;7;14;44;43;1;51
2008;2;Grêmio;72;38;21;9;8;59;35;24;63
2009;8;Grêmio;55;38;15;10;13;67;46;21;48
2010;4;Grêmio;63;38;17;12;9;68;43;25;55
2011;12;Grêmio;48;38;13;9;16;49;57;-8;42
2012;3;Grêmio;71;38;20;11;7;56;33;23;62
2013;2;Grêmio;65;38;18;11;9;42;35;7;57
2014;7;Grêmio;61;38;17;10;11;36;24;12;53
2015;3;Grêmio;68;38;20;8;10;52;32;20;60
2016;9;Grêmio;53;38;14;11;13;41;44;–3;46
2017;4;Grêmio;62;38;18;8;12;55;36;19;54
2018;4;Grêmio;66;38;18;12;8;48;27;21;58
2019;4;Grêmio;65;38;19;8;11;64;39;25;57
