year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;6;Internacional;72;46;20;10;16;59;57;2;52
2004;8;Internacional;67;46;20;7;19;66;59;7;48
2005;2;Internacional;78;42;23;9;10;72;49;23;61
2006;2;Internacional;69;38;20;9;9;52;36;16;61
2007;11;Internacional;54;38;15;9;14;49;44;5;47
2008;6;Internacional;54;38;15;9;14;48;47;1;47
2009;2;Internacional;65;38;19;8;11;65;44;21;57
2010;7;Internacional;58;38;16;10;12;48;41;7;51
2011;5;Internacional;60;38;16;12;10;57;43;14;52
2012;10;Internacional;52;38;13;13;12;44;40;4;45
2013;13;Internacional;48;38;11;15;12;51;52;–1;42
2014;3;Internacional;69;38;21;6;11;53;41;12;60
2015;5;Internacional;60;38;17;9;12;39;38;1;53
2016;17;Internacional;43;38;11;10;17;35;41;–6;38
2018;3;Internacional;69;38;19;12;7;51;29;22;60
2019;7;Internacional;57;38;16;9;13;44;39;5;50
