year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;2;Santos;87;46;25;12;9;93;60;33;63
2004;1;Santos;89;46;27;8;11;103;58;45;64
2005;10;Santos;59;42;16;11;15;68;71;–3;47
2006;4;Santos;64;38;18;10;10;58;36;22;56
2007;2;Santos;62;38;19;5;14;57;47;10;54
2008;15;Santos;45;38;11;12;15;44;53;–9;39
2009;12;Santos;49;38;12;13;13;58;58;0;43
2010;8;Santos;56;38;15;11;12;63;50;13;49
2011;10;Santos;53;38;15;8;15;55;55;0;46
2012;8;Santos;53;38;13;14;11;50;44;6;46
2013;7;Santos;57;38;15;12;11;51;38;13;50
2014;9;Santos;53;38;15;8;15;42;35;7;46
2015;7;Santos;58;38;16;10;12;59;41;18;51
2016;2;Santos;71;38;22;5;11;59;35;24;62
2017;3;Santos;63;38;17;12;9;42;32;10;55
2018;10;Santos;50;38;13;11;14;46;40;6;44
2019;2;Santos;74;38;22;8;8;60;33;27;64
