year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;3;São Paulo;78;46;22;12;12;81;67;14;56
2004;3;São Paulo;82;46;24;10;12;78;43;35;59
2005;11;São Paulo;58;42;16;10;16;77;67;10;46
2006;1;São Paulo;78;38;22;12;4;66;32;34;68
2007;1;São Paulo;77;38;23;8;7;55;19;36;68
2008;1;São Paulo;75;38;21;12;5;66;36;30;66
2009;3;São Paulo;65;38;18;11;9;57;42;15;57
2010;9;São Paulo;55;38;15;10;13;54;54;0;48
2011;6;São Paulo;59;38;16;11;11;57;46;11;52
2012;4;São Paulo;66;38;20;6;12;59;37;22;58
2013;9;São Paulo;50;38;14;8;16;39;40;–1;44
2014;2;São Paulo;70;38;20;10;8;59;40;19;61
2015;4;São Paulo;62;38;18;8;12;53;47;6;54
2016;10;São Paulo;52;38;14;10;14;44;36;8;46
2017;13;São Paulo;50;38;13;11;14;48;49;–1;44
2018;5;São Paulo;63;38;16;15;7;46;34;12;55
2019;6;São Paulo;63;38;17;12;9;39;30;9;55
