year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;17;Vasco da Gama;54;46;13;15;18;57;69;–12;39
2004;16;Vasco da Gama;54;46;14;12;20;64;68;-4;39
2005;12;Vasco da Gama;56;42;15;11;16;74;84;–10;44
2006;6;Vasco da Gama;59;38;15;14;9;57;50;7;52
2007;10;Vasco da Gama;54;38;15;9;14;58;47;11;47
2008;18;Vasco da Gama;40;38;11;7;20;56;72;–16;35
2010;11;Vasco da Gama;49;38;11;16;11;43;45;-2;43
2011;2;Vasco da Gama;69;38;19;12;7;57;40;17;60
2012;5;Vasco da Gama;58;38;16;10;12;45;44;1;51
2013;18;Vasco da Gama;44;38;11;11;16;50;61;–11;38
2015;18;Vasco da Gama;41;38;10;11;17;28;54;–26;36
2017;7;Vasco da Gama;56;38;15;11;12;40;47;–7;49
2018;16;Vasco da Gama;43;38;10;13;15;41;48;–7;38
2019;12;Vasco da Gama;49;38;12;13;13;39;45;–6;43
