year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;16;Vitória;56;46;15;11;20;50;64;–14;40
2004;23;Vitória;48;46;13;9;24;68;87;-19;35
2008;10;Vitória;52;38;15;7;16;48;44;4;45
2009;13;Vitória;48;38;13;9;16;51;57;-6;42
2010;17;Vitória;42;38;9;15;14;42;48;-6;37
2013;5;Vitória;59;38;16;11;11;59;53;6;52
2014;17;Vitória;38;38;10;8;20;37;54;–17;33
2016;16;Vitória;45;38;12;9;17;51;53;–2;39
2017;16;Vitória;43;38;11;10;17;50;58;–8;38
2018;19;Vitória;37;38;9;10;19;36;63;–27;32
